grade,unit,seq,title,author,genre,required,motif_l1,motif_l2_primary,motif_l2_secondary,motif_l3_question,notes
七上,第一单元,1,春,朱自清,散文,精读,写景,M01生态与风景,M06时间与成长,人如何通过季节感知生命的开始？,直觉常写“自然/希望”，学术化为生态感知与生命节律
七上,第一单元,2,济南的冬天,老舍,散文,精读,写景,M01生态与风景,M05故乡与身份,一座城的冬天如何成为“可居住的世界”？,温晴不仅是气候，更是人与地方的亲和关系
七上,第一单元,3,雨的四季,刘湛秋,散文,略读,写景,M01生态与风景,M06时间与成长,四季之雨如何组织人对时间的感受？,
七上,第一单元,4a,观沧海,曹操,诗歌,精读,写景/豪情,M01生态与风景,M08理想与追求,个体如何在广大自然中安放志向？,古代诗歌四首之一
七上,第一单元,4b,闻王昌龄左迁龙标遥有此寄,李白,诗歌,精读,送别,M04爱与原谅,M05故乡与身份,离别中的关切如何超越空间？,
七上,第一单元,4c,次北固山下,王湾,诗歌,精读,羁旅,M05故乡与身份,M06时间与成长,旅途中的乡愁如何与时间意识相遇？,
七上,第一单元,4d,天净沙·秋思,马致远,曲,精读,思乡/羁旅,M05故乡与身份,M10孤独与陪伴,为什么人在黄昏特别容易想家？,L1思乡→L2归属与漂泊的经典转换例
七上,第二单元,5,秋天的怀念,史铁生,散文,精读,亲情,M07家庭与代际,M04爱与原谅,爱如何在遗憾与理解中完成？,母爱不是单向给予，而是代际间的相互成全
七上,第二单元,6,散步,莫怀戚,散文,精读,亲情,M07家庭与代际,M12社会与责任,一次散步如何成为责任的伦理现场？,家庭/责任/代际
七上,第二单元,7a,金色花,泰戈尔,散文诗,略读,母爱,M07家庭与代际,M04爱与原谅,孩子如何用想象表达对母亲的依恋？,散文诗二首
七上,第二单元,7b,荷叶·母亲,冰心,散文诗,略读,母爱,M07家庭与代际,M01生态与风景,自然意象如何承载亲情？,
七上,第二单元,8a,咏雪,《世说新语》,文言笔记,精读,聪慧/家庭,M07家庭与代际,M11文化与传统,家庭对话如何成为文化教养的现场？,世说新语二则
七上,第二单元,8b,陈太丘与友期行,《世说新语》,文言笔记,精读,诚信,M09真实与虚假,M12社会与责任,守信为何是公共生活的起点？,
七上,第三单元,9,从百草园到三味书屋,鲁迅,散文,精读,成长,M06时间与成长,M11文化与传统,成长是否必然意味着乐园的失去？,时间与成长母题核心文本
七上,第三单元,10,再塑生命的人,海伦·凯勒,散文,略读,励志,M08理想与追求,M06时间与成长,教育如何重新打开一个人的世界？,
七上,第三单元,11,《论语》十二章,,文言语录,精读,修身,M11文化与传统,M08理想与追求,古典修身话语如何进入当代自我？,
七上,第四单元,12,纪念白求恩,毛泽东,议论文/纪念文,精读,奉献,M12社会与责任,M03勇气与担当,国际主义精神如何转化为责任伦理？,
七上,第四单元,13,植树的牧羊人,让·乔诺,小说,精读,奉献/生态,M01生态与风景,M12社会与责任,一个人的坚持如何改变一片土地？,生态与责任的交汇
七上,第四单元,14,走一步，再走一步,莫顿·亨特,记叙文,略读,成长,M03勇气与担当,M06时间与成长,勇气如何从“一小步”被学会？,勇敢与恐惧的辨析
七上,第四单元,15,诫子书,诸葛亮,文言书信,精读,家训,M07家庭与代际,M08理想与追求,修身训诫如何在代际间传递？,
七上,第五单元,16,猫,郑振铎,散文,精读,动物/反思,M09真实与虚假,M04爱与原谅,偏见如何伤害无辜？,自我反省与关系修复
七上,第五单元,17,动物笑谈,康拉德·劳伦兹,科普散文,略读,动物,M01生态与风景,M09真实与虚假,科学观察如何重建人与动物的关系？,
七上,第五单元,18,狼,蒲松龄,文言小说,精读,寓言/智勇,M03勇气与担当,M09真实与虚假,危机中的智慧与勇气如何共存？,
七上,第六单元,19,皇帝的新装,安徒生,童话,精读,讽刺,M09真实与虚假,M12社会与责任,为什么群体会共同维护一个谎言？,
七上,第六单元,20,天上的街市,郭沫若,诗歌,精读,想象,M08理想与追求,M01生态与风景,想象如何成为对现实的补偿与超越？,
七上,第六单元,21,女娲造人,袁珂,神话,略读,神话,M11文化与传统,M06时间与成长,创世神话如何回答“人从哪里来”？,
七上,第六单元,22a,赫耳墨斯和雕像者,《伊索寓言》,寓言,精读,讽刺,M09真实与虚假,M08理想与追求,自我评价与他者评价如何冲突？,寓言四则
七上,第六单元,22b,蚊子和狮子,《伊索寓言》,寓言,精读,讽喻,M03勇气与担当,M09真实与虚假,微小者的胜利为何仍可能通向失败？,
七上,第六单元,22c,穿井得一人,《吕氏春秋》,寓言,精读,传言,M09真实与虚假,M12社会与责任,信息如何在传播中失真？,
七上,第六单元,22d,杞人忧天,《列子》,寓言,精读,忧虑,M08理想与追求,M06时间与成长,对未知的恐惧如何被安放？,
七上,名著导读,WB1,朝花夕拾,鲁迅,散文集,名著,成长/回忆,M06时间与成长,M05故乡与身份,回忆如何重构童年与自我？,整本书：成长与文化记忆
七上,名著导读,WB2,西游记,吴承恩,章回小说,名著,神魔/成长,M02自由与规则,M03勇气与担当,自由如何经由规则转化为责任？,核心示范母题链文本
七下,第一单元,1,邓稼先,杨振宁,人物传记,精读,爱国/科学,M03勇气与担当,M12社会与责任,个人才华如何与家国责任相遇？,
七下,第一单元,2,说和做——记闻一多先生言行片段,臧克家,人物评传,精读,言行一致,M09真实与虚假,M12社会与责任,知识分子如何用行动兑现言说？,
七下,第一单元,3,回忆鲁迅先生（节选）,萧红,回忆散文,略读,人物,M10孤独与陪伴,M11文化与传统,伟大者的日常如何被亲近地看见？,
七下,第一单元,4,孙权劝学,《资治通鉴》,文言,精读,劝学,M08理想与追求,M06时间与成长,学习如何改变一个人的可能性？,
